date_time,size
2020-06-07 04:00:00,468534801
2020-06-07 05:00:00,366013649
2020-06-07 06:00:00,397981522
2020-06-07 07:00:00,388548383
2020-06-07 08:00:00,570956696
2020-06-07 09:00:00,823112987
2020-06-07 10:00:00,1035176161
2020-06-07 11:00:00,1272649111
2020-06-07 12:00:00,1747150767
2020-06-07 13:00:00,1825644471
2020-06-07 14:00:00,2404153109
2020-06-07 15:00:00,2080000993
2020-06-07 16:00:00,2182228004
2020-06-07 17:00:00,2091912449
2020-06-07 18:00:00,1926590600
2020-06-07 19:00:00,2039575679
2020-06-07 20:00:00,2090444348
2020-06-07 21:00:00,2248095037
2020-06-07 22:00:00,2594069134
2020-06-07 23:00:00,2727891681
2020-06-08 00:00:00,2304263144
2020-06-08 01:00:00,1834138568
2020-06-08 02:00:00,1311553929
2020-06-08 03:00:00,791149257
2020-06-08 04:00:00,505397953
2020-06-08 05:00:00,338632518
2020-06-08 06:00:00,318862192
2020-06-08 07:00:00,624755611
2020-06-08 08:00:00,1119377483
2020-06-08 09:00:00,2138810096
2020-06-08 10:00:00,2964032397
2020-06-08 11:00:00,3292600722
2020-06-08 12:00:00,3496820202
2020-06-08 13:00:00,3591225688
2020-06-08 14:00:00,4104912741
2020-06-08 15:00:00,3727069267
2020-06-08 16:00:00,3156025474
2020-06-08 17:00:00,3095360238
2020-06-08 18:00:00,2246195153
2020-06-08 19:00:00,2084567222
2020-06-08 20:00:00,2066789254
2020-06-08 21:00:00,2512098879
2020-06-08 22:00:00,3374914706
2020-06-08 23:00:00,2911201003
2020-06-09 00:00:00,2378628282
2020-06-09 01:00:00,1887831610
2020-06-09 02:00:00,908783023
2020-06-09 03:00:00,699381531
2020-06-09 04:00:00,506983042
2020-06-09 05:00:00,331677482
2020-06-09 06:00:00,359146663
2020-06-09 07:00:00,650679167
2020-06-09 08:00:00,1084066658
2020-06-09 09:00:00,2016891429
2020-06-09 10:00:00,2618120410
2020-06-09 11:00:00,2782768367
2020-06-09 12:00:00,2913204726
2020-06-09 13:00:00,3464710597
2020-06-09 14:00:00,3656729929
2020-06-09 15:00:00,3514095430
2020-06-09 16:00:00,3127229731
2020-06-09 17:00:00,3009997710
2020-06-09 18:00:00,2360628979
2020-06-09 19:00:00,1970096219
2020-06-09 20:00:00,2167529536
2020-06-09 21:00:00,2015862656
2020-06-09 22:00:00,2420677290
2020-06-09 23:00:00,2744027620
2020-06-10 00:00:00,1945700785
2020-06-10 01:00:00,221793000
2020-06-10 02:00:00,323306041
2020-06-10 03:00:00,747863823
2020-06-10 04:00:00,380293853
2020-06-10 05:00:00,233369526
2020-06-10 06:00:00,286708328
2020-06-10 07:00:00,502606453
2020-06-10 08:00:00,1093812889
2020-06-10 09:00:00,1717730111
2020-06-10 10:00:00,2266062849
2020-06-10 11:00:00,2829083147
2020-06-10 12:00:00,2789494096
2020-06-10 13:00:00,2968393272
2020-06-10 14:00:00,3736016299
2020-06-10 15:00:00,3185607527
2020-06-10 16:00:00,3277337591
2020-06-10 17:00:00,2644772526
2020-06-10 18:00:00,2050800935
2020-06-10 19:00:00,1864261922
2020-06-10 20:00:00,1954681511
2020-06-10 21:00:00,2225139919
2020-06-10 22:00:00,2506001593
2020-06-10 23:00:00,2809465263
2020-06-11 00:00:00,2232931020
2020-06-11 01:00:00,1445010778
2020-06-11 02:00:00,889085794
2020-06-11 03:00:00,587530928
2020-06-11 04:00:00,399029555
2020-06-11 05:00:00,332119349
2020-06-11 06:00:00,265210025
2020-06-11 07:00:00,528902154
2020-06-11 08:00:00,1247557421
2020-06-11 09:00:00,2009845846
2020-06-11 10:00:00,2493338539
2020-06-11 11:00:00,2844681878
2020-06-11 12:00:00,2867661557
2020-06-11 13:00:00,3034542065
2020-06-11 14:00:00,3361002073
2020-06-11 15:00:00,3310501572
2020-06-11 16:00:00,3095533804
2020-06-11 17:00:00,2710151556
2020-06-11 18:00:00,2041826507
2020-06-11 19:00:00,1808582189
2020-06-11 20:00:00,1951049294
2020-06-11 21:00:00,2677034441
2020-06-11 22:00:00,2545649637
2020-06-11 23:00:00,2479334626
2020-06-12 00:00:00,2190205063
2020-06-12 01:00:00,1531353050
2020-06-12 02:00:00,915996640
2020-06-12 03:00:00,646883901
2020-06-12 04:00:00,478506095
2020-06-12 05:00:00,484054652
2020-06-12 06:00:00,292797425
2020-06-12 07:00:00,445334023
2020-06-12 08:00:00,1157416529
2020-06-12 09:00:00,1837229682
2020-06-12 10:00:00,2295716199
2020-06-12 11:00:00,2617678903
2020-06-12 12:00:00,2477739218
2020-06-12 13:00:00,2507524990
2020-06-12 14:00:00,3021796763
2020-06-12 15:00:00,2312633673
2020-06-12 16:00:00,2878282259
2020-06-12 17:00:00,2459497142
2020-06-12 18:00:00,2145979198
2020-06-12 19:00:00,1760759572
2020-06-12 20:00:00,1853728154
2020-06-12 21:00:00,2236164685
2020-06-12 22:00:00,2153780900
2020-06-12 23:00:00,2282940748
2020-06-13 00:00:00,1739613286
2020-06-13 01:00:00,1417748796
2020-06-13 02:00:00,901192489
2020-06-13 03:00:00,539071130
2020-06-13 04:00:00,383271515
2020-06-13 05:00:00,288916983
2020-06-13 06:00:00,307511619
2020-06-13 07:00:00,338681802
2020-06-13 08:00:00,558977356
2020-06-13 09:00:00,1074147910
2020-06-13 10:00:00,1500273029
2020-06-13 11:00:00,1860807911
2020-06-13 12:00:00,1983309808
2020-06-13 13:00:00,2087405396
2020-06-13 14:00:00,2125299852
2020-06-13 15:00:00,2048383030
2020-06-13 16:00:00,2084816771
2020-06-13 17:00:00,2271879564
2020-06-13 18:00:00,1886898745
2020-06-13 19:00:00,1998909527
2020-06-13 20:00:00,1973621197
2020-06-13 21:00:00,1996399157
2020-06-13 22:00:00,2200241711
2020-06-13 23:00:00,2083580412
2020-06-14 00:00:00,1868051445
2020-06-14 01:00:00,1416588087
2020-06-14 02:00:00,930667030
2020-06-14 03:00:00,615257169
2020-06-14 04:00:00,376571509
2020-06-14 05:00:00,316544165
2020-06-14 06:00:00,288361682
2020-06-14 07:00:00,351118492
2020-06-14 08:00:00,460759468
2020-06-14 09:00:00,743334811
2020-06-14 10:00:00,958539845
2020-06-14 11:00:00,1431046158
2020-06-14 12:00:00,1681811865
2020-06-14 13:00:00,1958919494
2020-06-14 14:00:00,2118570230
2020-06-14 15:00:00,2094625422
2020-06-14 16:00:00,2035090752
2020-06-14 17:00:00,1986886665
2020-06-14 18:00:00,2123648043
2020-06-14 19:00:00,2313435789
2020-06-14 20:00:00,2252065346
2020-06-14 21:00:00,2293126470
2020-06-14 22:00:00,2842169052
2020-06-14 23:00:00,2854286484
2020-06-15 00:00:00,2093840012
2020-06-15 01:00:00,1741508430
2020-06-15 02:00:00,1021334431
2020-06-15 03:00:00,713146514
2020-06-15 04:00:00,437188865
2020-06-15 05:00:00,377990319
2020-06-15 06:00:00,406186496
2020-06-15 07:00:00,565991726
2020-06-15 08:00:00,1202248198
2020-06-15 09:00:00,2143010328
2020-06-15 10:00:00,2817500370
2020-06-15 11:00:00,2966525196
2020-06-15 12:00:00,3242306045
2020-06-15 13:00:00,3285491337
2020-06-15 14:00:00,3512620686
2020-06-15 15:00:00,3207839778
2020-06-15 16:00:00,3449834748
2020-06-15 17:00:00,3058654442
2020-06-15 18:00:00,2231566777
2020-06-15 19:00:00,2040521704
2020-06-15 20:00:00,2149388032
2020-06-15 21:00:00,2252650979
2020-06-15 22:00:00,2495463382
2020-06-15 23:00:00,2841909388
2020-06-16 00:00:00,2048236320
2020-06-16 01:00:00,1152037258
2020-06-16 02:00:00,885538938
2020-06-16 03:00:00,520239795
2020-06-16 04:00:00,458638466
2020-06-16 05:00:00,345271807
2020-06-16 06:00:00,316610979
2020-06-16 07:00:00,526081894
2020-06-16 08:00:00,1249908120
2020-06-16 09:00:00,2128860831
2020-06-16 10:00:00,2660898556
2020-06-16 11:00:00,3149201246
2020-06-16 12:00:00,3139897894
2020-06-16 13:00:00,3767603637
2020-06-16 14:00:00,5018409583
2020-06-16 15:00:00,5048973989
2020-06-16 16:00:00,3716010070
2020-06-16 17:00:00,2530486567
2020-06-16 18:00:00,2313119257
2020-06-16 19:00:00,1822239616
2020-06-16 20:00:00,1954468108
2020-06-16 21:00:00,1980600872
2020-06-16 22:00:00,2523285328
2020-06-16 23:00:00,2608909246
2020-06-17 00:00:00,2136071205
2020-06-17 01:00:00,1364356226
2020-06-17 02:00:00,941644622
